Catalog Number	Species	Collector	Collection Date	Location
140205	1475885 Silphium terebinthinaceum 		 Asteraceae	Edward G. Voss	11376: 09/07/1963
140255	 Chamaedaphne calyculata 		 Ericaceae	Kees Lems	: 09/24/1952
140266	 Galium concinnum 		 Rubiaceae	Daniel C. Eaton	: 07/00/1869
140267	 Galium concinnum 		 Rubiaceae	Ira L. Wiggins	11 918: 07/05/1948
140352	 Galium lanceolatum 		 Rubiaceae	Ira L. Wiggins	11916: 07/05/1948
140407	 Hieracium kalmii 		 Asteraceae	Frederick J. Hermann	9227: 09/12/1937
140421	 Nepeta cataria 		 Lamiaceae	Ira L. Wiggins	: 07/11/1948
140434	 Gentianopsis virgata 		 Gentianaceae	Kees Lems	: 09/21/1952
140461	1252198 Bidens cernua 		 Asteraceae	Carl D. LaRue	: 09/20/1915
140528	 Lactuca canadensis 		 Asteraceae	Frederick J. Hermann	9133: 08/16/1937
140538	 Bidens connata 		 Asteraceae	Frederick J. Hermann	9272: 09/14/1937
140543	 Prenanthes altissima 		 Asteraceae	Frederick J. Hermann	9278: 09/17/1937
140604	1252238 Bidens comosa 		 Asteraceae	Frederick J. Hermann	9176: 09/01/1937
140605	 Bidens comosa 		 Asteraceae	C. Marvin Rogers	5490: 09/17/1947
140656	1217394 Eupatorium perfoliatum 		 Asteraceae	Elizabeth C. Almendinger	: 00/00/00
140658	1217396 Eupatorium perfoliatum 		 Asteraceae	Carl D. LaRue	: 09/04/1915
140729	 Agalinis tenuifolia 		 Orobanchaceae	Lewis E. Foote	: 08/20/1862
140754	1252120 Bidens cernua 		 Asteraceae	Eileen W. Erlanson	: 10/06/1923
140755	1252119 Bidens cernua 		 Asteraceae	Carl O. Erlanson	826: 09/31/1924
140782	1252199 Bidens cernua 		 Asteraceae	Mark W. Harrington	: 09/00/1869
140805	1252200 Bidens cernua 		 Asteraceae	A.J. Pieters	: 09/15/1892
140811	 Bidens cernua 		 Asteraceae	C. Marvin Rogers	5454: 09/17/1947
140853	1252348 Bidens trichosperma 		 Asteraceae	F.G. Gustafson	: 09/04/1922
140893	1252311 Bidens trichosperma 		 Asteraceae	Elizabeth C. Almendinger	: 08/30/1867
140894	1252305 Bidens trichosperma 		 Asteraceae	John H. Ehlers	3784: 09/07/1928
140933	1249496 Ageratina altissima 		 Asteraceae	Frederick J. Hermann	1472: 08/08/1927
140934	1249497 Ageratina altissima 		 Asteraceae	Carl D. LaRue	: 08/07/1915
140935	1249498 Ageratina altissima 		 Asteraceae	John H. Ehlers	24: 10/06/1916
140954	1252343 Bidens trichosperma 		 Asteraceae	Mark W. Harrington	: 09/00/1868
140957	1252304 Bidens trichosperma 		 Asteraceae	Frederick J. Hermann	7001: 08/24/1935
140987	1252442 Bidens vulgata 		 Asteraceae		: 08/30/1915
141037	1252249 Bidens trichosperma 		 Asteraceae	Peter W. Fritsch	104: 09/14/1985
141043	1217370 Eupatorium perfoliatum 		 Asteraceae	Elizabeth C. Almendinger	: 07/31/1860
139357	1256292 Rudbeckia hirta 		 Asteraceae	Peter W. Fritsch	416: 06/14/1987
139369	1217695 Galinsoga quadriradiata 		 Asteraceae	Rogers McVaugh	23636: 09/22/1965
139445	1475223 Silphium laciniatum 		 Asteraceae	Mark W. Harrington	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
139461	1217906 Helenium autumnale 		 Asteraceae	Winifred O. Moore	5: 10/04/1950
139463	1217908 Helenium autumnale 		 Asteraceae	Carl D. LaRue	: 09/09/1915
139464	1217909 Helenium autumnale 		 Asteraceae	Carl O. Erlanson	: 10/07/1921
139466	1217911 Helenium autumnale 		 Asteraceae	Lewis E. Foote	: 00/00/1862
139467	1217912 Helenium autumnale 		 Asteraceae	Mark W. Harrington	s.n.: 00/00/00
139473	1217704 Galinsoga quadriradiata 		 Asteraceae	Carl D. LaRue	: 09/16/1915
139476	1314435 Bellis perennis 		 Asteraceae	Anton A. Reznicek	4951: 05/28/1978
139504	1256488 Silphium terebinthinaceum 		 Asteraceae	Rup Chand	3: 08/19/1972
139528	1256012 Polymnia canadensis 		 Asteraceae	Jean Dawson	: 00/00/1903
139549	1254387 Heliopsis helianthoides 		 Asteraceae	George B. Sudworth	237: 08/04/1884
139555	1256005 Polymnia canadensis 		 Asteraceae	Elizabeth C. Almendinger	: 07/13/1869
139578	1256487 Silphium terebinthinaceum 		 Asteraceae	Peter W. Fritsch	97: 09/01/1985
139584	1256504 Silphium terebinthinaceum 		 Asteraceae	Jean Dawson	: 00/00/1903
139585	1256509 Silphium terebinthinaceum 		 Asteraceae	Carl O. Erlanson	842: 10/05/1924
139309	1481412 Echinacea purpurea 		 Asteraceae	Mark W. Harrington	: 09/01/1868
139309	1481412 Echinacea purpurea 		 Asteraceae	Mark W. Harrington	: 09/01/1868
139319	1255920 Parthenium hysterophorus 		 Asteraceae	John H. Ehlers	652: 10/10/1917
139322	1217896 Helenium autumnale 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/1867
139334	1256215 Ratibida pinnata 		 Asteraceae	F.G. Gustafson	: 07/13/1923
139335	1256216 Ratibida pinnata 		 Asteraceae	Elizabeth C. Almendinger	: 08/13/1860
139654	1254386 Heliopsis helianthoides 		 Asteraceae	George B. Sudworth	: 09/21/1891
139665	1256222 Ratibida pinnata 		 Asteraceae	Carl D. LaRue	: 08/06/1915
139666	1256223 Ratibida pinnata 		 Asteraceae	A.J. Pieters	: 08/05/1892
141159	1217383 Eupatorium perfoliatum 		 Asteraceae	Peter W. Fritsch	62: 08/11/1985
141179	1253955 Eupatorium altissimum 		 Asteraceae	Anton A. Reznicek	7089: 09/28/1982
141205	1252443 Bidens vulgata 		 Asteraceae	W.S. Cheever	: 00/00/1886
141206	1252449 Bidens vulgata 		 Asteraceae	Mark W. Harrington	: 09/00/1868
141208	 Bidens vulgata 		 Asteraceae	Frederick J. Hermann	9169: 08/27/1937
141209	1252431 Bidens vulgata 		 Asteraceae	Frederick J. Hermann	9179: 09/02/1937
141210	1252448 Bidens vulgata 		 Asteraceae	Carl D. LaRue	: 09/09/1915
141211	1252450 Bidens vulgata 		 Asteraceae	A.J. Pieters	: 08/31/1892
141212	 Bidens vulgata 		 Asteraceae	C. Marvin Rogers	5468: 09/17/1947
141247	1217490 Eupatorium sessilifolium 		 Asteraceae	Frederick J. Hermann	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
141248	1217489 Eupatorium sessilifolium 		 Asteraceae	Carl D. LaRue	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
141453	 Bidens frondosa 		 Asteraceae	Frederick J. Hermann	9198: 09/05/1937
141465	1252263 Bidens connata 		 Asteraceae	Peter W. Fritsch	105: 09/14/1985
141517	1217428 Eupatorium perfoliatum 		 Asteraceae	Carl D. LaRue	: 08/07/1915
141539	1249503 Ageratina altissima 		 Asteraceae	Carl O. Erlanson	860: 10/09/1924
141543	1249504 Ageratina altissima 		 Asteraceae	Carl D. LaRue	: 08/19/1915
141585	1217462 Eutrochium purpureum 		 Asteraceae	Carl D. LaRue	: 09/14/1915
141634	1249512 Ageratina altissima 		 Asteraceae	John H. Ehlers	5554: 10/09/1933
141700	1249515 Ageratina altissima 		 Asteraceae	Carl O. Erlanson	2305: 07/31/1926
141701	1249516 Ageratina altissima 		 Asteraceae	Jean Dawson	: 00/00/1903
141741	1003165 Eutrochium purpureum 		 Asteraceae	Eileen W. Erlanson	5307: 08/10/1927
141832	1222649 Cuscuta gronovii 		 Convolvulaceae	Peter W. Fritsch	485: 08/30/1987
141909	 Bidens trichosperma 		 Asteraceae	Melinda C. Denton	808: 09/15/1965
141911	 Asclepias incarnata 		 Apocynaceae	Ruth B. Alford (MacFarlane)	1583: 07/27/1969
142233	 Bidens vulgata 		 Asteraceae	Frederick J. Hermann	9175: 09/01/1937
142402	 Bidens trichosperma 		 Asteraceae	Frederick J. Hermann	7340: 09/22/1935
142536	 Gentiana andrewsii 		 Gentianaceae	Frederick J. Hermann	7339: 09/22/1935
142537	 Gentiana andrewsii 		 Gentianaceae	S.H. Emerson	18: 10/00/1924
142650	 Carex hitchcockiana 		 Cyperaceae	Frederick J. Hermann	6531: 06/03/1935
142748	1227394 Perilla frutescens 		 Lamiaceae	Anton A. Reznicek	9976: 10/15/1994
143488	 Vaccinium corymbosum 		 Ericaceae	Kees Lems	: 09/24/1952
139758	1256494 Silphium terebinthinaceum 		 Asteraceae	A.J. Pieters	: 08/08/1892
143567	1335563 Parthenocissus inserta 		 Vitaceae	Elizabeth C. Almendinger	: 08/04/1862
143571	1217964 Helianthus decapetalus 		 Asteraceae	A.J. Pieters	: 08/06/1892
143663	1217997 Helianthus decapetalus 		 Asteraceae	Carl D. LaRue	: 08/19/1915
143729	1255842 Packera aurea 		 Asteraceae	Carl O. Erlanson	892: 06/03/1925
143756	1003182 Helianthus decapetalus 		 Asteraceae	Carl O. Erlanson	871: 10/16/1924
143762	1217993 Helianthus decapetalus 		 Asteraceae	George B. Sudworth	248: 08/08/1884
143764	1217991 Helianthus decapetalus 		 Asteraceae	Eileen W. Erlanson	5305: 08/10/1927
143767	1217988 Helianthus decapetalus 		 Asteraceae		: 07/31/1916
143772	1254026 Helianthus divaricatus 		 Asteraceae	John H. Ehlers	971: 08/23/1925
143773	1254027 Helianthus divaricatus 		 Asteraceae	Carl D. LaRue	: 07/14/1915
143819	1217960 Helianthus decapetalus 		 Asteraceae	Elizabeth C. Almendinger	: 09/16/1869
143842	1254127 Helianthus hirsutus 		 Asteraceae	Elizabeth C. Almendinger	: 09/16/1868
143869	1254181 Helianthus occidentalis 		 Asteraceae	Mark W. Harrington	s.n.: 00/00/00
143927	1254273 Helianthus tuberosus 		 Asteraceae	John H. Ehlers	7144: 10/10/1938
143928	1254274 Helianthus tuberosus 		 Asteraceae	Carl O. Erlanson	: 09/26/1921
143931	1255846 Packera aurea 		 Asteraceae	Julius P Romein	: 04/29/1915
143932	1255847 Packera aurea 		 Asteraceae	John H. Ehlers	660: 05/18/1918
143933	1254241 Helianthus strumosus 		 Asteraceae	Peter W. Fritsch	482: 08/30/1987
143939	1254258 Helianthus strumosus 		 Asteraceae	George B. Sudworth	: 09/21/1891
143940	1254259 Helianthus strumosus 		 Asteraceae	A.J. Pieters	55: 08/24/1892
144037	1254182 Helianthus occidentalis 		 Asteraceae	Elizabeth C. Almendinger	: 09/13/1862
144076	1254268 Helianthus tuberosus 		 Asteraceae	Carl D. LaRue	: 09/20/1915
144077	1254262 Helianthus tuberosus 		 Asteraceae	Carl O. Erlanson	: 10/07/1921
144106	1254193 Helianthus occidentalis 		 Asteraceae	Peter W. Fritsch	488: 08/30/1987
144121	1202339 Packera obovata 		 Asteraceae	Peter W. Fritsch	367: 05/17/1987
144136	1255830 Packera aurea 		 Asteraceae	Eileen W. Erlanson	101: 06/05/1924
144138	1255834 Packera aurea 		 Asteraceae	Carl D. LaRue	: 05/00/1915
144139	1255836 Packera aurea 		 Asteraceae	Carl O. Grassl	4801: 05/22/1932
144238	1255101 Inula helenium 		 Asteraceae		: 08/30/1915
144262	1254230 Helianthus petiolaris 		 Asteraceae	Oliver A. Farwell	6795: 09/12/1923
144274	1254238 Helianthus strumosus 		 Asteraceae	Elizabeth C. Almendinger	: 08/10/1868
144292	 Helianthus giganteus 		 Asteraceae	Frederick J. Hermann	8381: 08/20/1936
144320	1254279 Helianthus tuberosus 		 Asteraceae	H.W. Thomson	: 10/00/1903
144335	1255852 Packera aurea 		 Asteraceae	Douglass Houghton	s.n.: 05/15/1839
144336	1255872 Packera aurea 		 Asteraceae	Elizabeth C. Almendinger	: 05/12/1860
144342	1255877 Packera aurea 		 Asteraceae	Elizabeth C. Almendinger	: 05/30/1872
144167	1255105 Inula helenium 		 Asteraceae	Carl D. LaRue	: 09/04/1915
144176	1255119 Inula helenium 		 Asteraceae	Elizabeth C. Almendinger	: 08/14/1861
144209	1254146 Helianthus maximiliani 		 Asteraceae	Oliver A. Farwell	8020: 07/20/1927
144221	1255862 Packera aurea 		 Asteraceae	A.J. Pieters	438: 05/25/1894
141319	1252403 Bidens frondosa 		 Asteraceae	Carl O. Erlanson	812: 09/31/1924
144610	1217534 Euthamia graminifolia 		 Asteraceae		: 08/30/1915
145296	1256853 Solidago gigantea 		 Asteraceae	George B. Sudworth	: 09/20/1891
145301	1257189 Solidago nemoralis 		 Asteraceae	Frederick J. Hermann	9226: 09/12/1937
145320	1257366 Solidago patula 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/00
145394	1257261 Solidago nemoralis 		 Asteraceae	A.J. Pieters	: 09/15/1892
145467	1256932 Solidago gigantea 		 Asteraceae		: 09/09/1879
145468	1256933 Solidago gigantea 		 Asteraceae	A.J. Pieters	: 08/23/1892
145496	1257228 Solidago nemoralis 		 Asteraceae		: 09/09/1879
145536	1257061 Solidago juncea 		 Asteraceae	Carl O. Erlanson	975: 08/23/1925
145549	1256793 Solidago flexicaulis 		 Asteraceae	Elizabeth C. Almendinger	: 09/13/1862
145591	1257587 Solidago rugosa 		 Asteraceae	Peter W. Fritsch	92: 09/01/1985
145593	1257185 Solidago nemoralis 		 Asteraceae	George B. Sudworth	: 09/08/1890
145594	1257232 Solidago nemoralis 		 Asteraceae	Carl D. LaRue	: 09/09/1915
145605	1003222 Solidago rugosa 		 Asteraceae	Mark W. Harrington	: 09/09/1879
145608	1256676 Solidago caesia 		 Asteraceae	Elizabeth C. Almendinger	: 09/00/1860
145613	1257372 Solidago patula 		 Asteraceae	Peter W. Fritsch	125: 09/15/1985
145617	1257353 Solidago patula 		 Asteraceae	Carl D. LaRue	: 09/14/1915
145631	1256677 Solidago caesia 		 Asteraceae	Carl D. LaRue	: 09/04/1915
145641	1256820 Solidago flexicaulis 		 Asteraceae	Carl D. LaRue	: 09/04/1915
145670	1257500 Solidago rugosa 		 Asteraceae	John H. Ehlers	25: 10/06/1916
145682	1257586 Solidago rugosa 		 Asteraceae	Elizabeth C. Almendinger	: 09/13/1862
145718	1257595 Solidago rugosa 		 Asteraceae	Frederick J. Hermann	9378: 10/03/1937
145769	1256658 Solidago caesia 		 Asteraceae	George B. Sudworth	: 09/17/1890
145796	1256643 Solidago caesia 		 Asteraceae	Cyrus L. Lundell	9681: 10/02/1940
145800	1256692 Solidago caesia 		 Asteraceae	Peter W. Fritsch	339: 09/23/1986
145808	1003226 Solidago patula 		 Asteraceae	A.J. Pieters	91: 09/03/1892
145824	1256662 Solidago caesia 		 Asteraceae	A.J. Pieters	87: 09/15/1892
145886	1256647 Solidago caesia 		 Asteraceae	John H. Ehlers	23: 10/06/1916
145887	1256648 Solidago caesia 		 Asteraceae	S.H. Emerson	: 09/00/1924
145941	1257747 Solidago uliginosa 		 Asteraceae	Peter W. Fritsch	106: 09/14/1985
146126	1256788 Solidago flexicaulis 		 Asteraceae	John H. Ehlers	26: 10/06/1916
146127	1256789 Solidago flexicaulis 		 Asteraceae	A.J. Pieters	: 09/18/1892
146145	 Ambrosia psilostachya 		 Asteraceae	William R. Overlease	3022: 08/06/1993
146187	1252905 Cirsium arvense 		 Asteraceae	Elizabeth C. Almendinger	: 07/19/1862
146188	1252904 Cirsium arvense 		 Asteraceae	Jean Dawson	: 00/00/1903
146235	1252516 Carduus acanthoides 		 Asteraceae	T.W. Maull	169: 07/16/1957
146249	1252988 Cirsium discolor 		 Asteraceae	Jean Dawson	: 00/00/1903
146261	1250249 Arctium minus 		 Asteraceae	Jean Dawson	: 00/00/1903
146264	1250250 Arctium minus 		 Asteraceae	F.G. Gustafson & M. Best	: 08/20/1924
146334	1250272 Arctium minus 		 Asteraceae	Carl D. LaRue	: 07/20/1915
146399	1253008 Cirsium hillii 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/1867
146470	1253000 Cirsium discolor 		 Asteraceae	Mark W. Harrington	: 07/31/1862
146485	1252901 Cirsium altissimum 		 Asteraceae	Carl D. LaRue	: 08/19/1915
146486	1252899 Cirsium altissimum 		 Asteraceae	A.J. Pieters	: 08/10/1892
146487	1252900 Cirsium altissimum 		 Asteraceae	Elizabeth C. Almendinger	: 09/22/1866
146538	1252896 Cirsium altissimum 		 Asteraceae	George B. Sudworth	: 09/21/1891
146541	1252893 Cirsium altissimum 		 Asteraceae	John H. Ehlers	5215: 09/28/1932
146565	1252950 Cirsium arvense 		 Asteraceae	Carl D. LaRue	: 07/12/1915
146582	1252958 Cirsium arvense 		 Asteraceae	F.G. Gustafson & M. Best	: 08/20/1924
146583	1253051 Cirsium muticum 		 Asteraceae	Peter W. Fritsch	117: 09/15/1985
146595	1250243 Arctium minus 		 Asteraceae	Beulah Wells	: 08/11/1917
146612	1253703 Erigeron philadelphicus 		 Asteraceae	Carl O. Grassl	4798: 05/22/1932
146620	1051109 Carduus acanthoides 		 Asteraceae	Rogers McVaugh & Walter N. Koelz	: 06/25/1959
146666	1253002 Cirsium discolor 		 Asteraceae	John H. Ehlers	3783: 09/05/1928
146667	1253003 Cirsium discolor 		 Asteraceae	George B. Sudworth	: 09/20/1891
146748	1250247 Arctium minus 		 Asteraceae	S.H. Emerson	: 10/00/1924
146758	1253090 Cirsium muticum 		 Asteraceae	Elizabeth C. Almendinger	: 09/18/1862
146771	1253801 Erigeron philadelphicus 		 Asteraceae	Carl O. Grassl	3844: 05/30/1932
146779	1253222 Cirsium vulgare 		 Asteraceae	Carl D. LaRue	: 07/22/1915
146813	1253610 Erigeron annuus 		 Asteraceae	Carl D. LaRue	: 07/14/1915
146814	1253611 Erigeron annuus 		 Asteraceae	F.G. Gustafson & M. Best	: 08/20/1924
146818	1253838 Erigeron pulchellus 		 Asteraceae	Eileen W. Erlanson	112: 06/09/1924
146819	1253839 Erigeron pulchellus 		 Asteraceae	John H. Ehlers	678: 05/20/1918
146845	1253818 Erigeron pulchellus 		 Asteraceae	Carl O. Erlanson	893: 06/03/1925
146847	1253820 Erigeron pulchellus 		 Asteraceae	Carl O. Grassl	3841: 05/30/1932
146848	1253821 Erigeron pulchellus 		 Asteraceae	N.D. Corbin	: 00/00/00
146849	1253822 Erigeron pulchellus 		 Asteraceae	George B. Sudworth	48: 06/10/1884
146877	1253778 Erigeron philadelphicus 		 Asteraceae	Peter W. Fritsch	216: 06/15/1986
146886	1253625 Erigeron annuus 		 Asteraceae	Elizabeth C. Almendinger	: 06/06/1860
146904	1253846 Erigeron pulchellus 		 Asteraceae	Carl D. LaRue	: 05/30/1915
146905	1253847 Erigeron pulchellus 		 Asteraceae	Carl O. Grassl	4800: 05/22/1932
146906	1253848 Erigeron pulchellus 		 Asteraceae	John Wright	s.n.: 06/23/1838
146916	1253771 Erigeron philadelphicus 		 Asteraceae	P.B. Taylor & H.W. Thomson	: 05/20/1903
146917	1253772 Erigeron philadelphicus 		 Asteraceae	A.J. Pieters	47: 06/00/1892
146920	1253086 Cirsium muticum 		 Asteraceae	A.J. Pieters	34: 08/24/1892
146921	1253085 Cirsium muticum 		 Asteraceae	Carl D. LaRue	: 09/09/1915
146922	1253077 Cirsium muticum 		 Asteraceae	George B. Sudworth	: 09/21/1891
146931	1003173 Erigeron philadelphicus 		 Asteraceae	Elizabeth C. Almendinger	: 05/22/1860
146941	1253841 Erigeron pulchellus 		 Asteraceae	A.J. Pieters	45: 06/00/1892
146942	1256190 Erigeron pulchellus 		 Asteraceae	Elizabeth C. Almendinger	: 05/10/1860
146954	1253729 Erigeron philadelphicus 		 Asteraceae	Carl D. LaRue	: 06/13/1915
146955	1253806 Erigeron philadelphicus 		 Asteraceae	Charles Baldwin	: 06/05/1872
146989	1253869 Erigeron strigosus 		 Asteraceae	Elizabeth C. Almendinger	: 06/05/1860
146992	1253824 Erigeron pulchellus 		 Asteraceae	S.H. Emerson	: 05/22/1925
147010	1253243 Cirsium vulgare 		 Asteraceae	Carl D. LaRue	: 08/06/1915
147013	1253679 Erigeron annuus 		 Asteraceae	Louis H. Jordal	3336: 10/14/1949
147028	1253800 Erigeron philadelphicus 		 Asteraceae	Carl O. Grassl	4819: 06/08/1932
147115	1253833 Erigeron pulchellus 		 Asteraceae	Peter A. Hyypio	1071: 06/04/1960
147130	1253731 Erigeron philadelphicus 		 Asteraceae	Frederick J. Hermann	154: 05/28/1926
147170	1253834 Erigeron pulchellus 		 Asteraceae		: 05/25/1970
144896	1003225 Solidago ohioensis 		 Asteraceae	A.J. Pieters	: 08/17/1894
144925	1257339 Solidago ohioensis 		 Asteraceae	Peter W. Fritsch	317: 08/16/1986
144927	1205036 Solidago riddellii 		 Asteraceae	Mark W. Harrington	: 09/00/1868
145023	1205037 Solidago riddellii 		 Asteraceae	Carl D. LaRue	: 09/20/1915
145030	1205039 Solidago riddellii 		 Asteraceae	Elizabeth C. Almendinger	: 10/06/1866
145039	1256642 Solidago caesia 		 Asteraceae	Cyrus L. Lundell	8290: 10/04/1939
145041	1256832 Solidago flexicaulis 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/1867
145044	1257451 Solidago rigida 		 Asteraceae	S.H. Emerson	: 10/00/1924
145093	1256592 Solidago altissima 		 s.str. Asteraceae	Carl D. LaRue	: 09/20/1920
145167	1256861 Solidago gigantea 		 Asteraceae	Alexander	: 10/09/1906
147178	1253816 Erigeron pulchellus 		 Asteraceae	Frederick J. Hermann	170: 05/28/1926
147270	1217826 Gnaphalium uliginosum 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/1867
147374	1253933 Erigeron strigosus 		 Asteraceae	John Wright	s.n.: 06/27/1838
147381	1252688 Rhaponticum repens 		 Asteraceae	Oliver A. Farwell	8225: 06/27/1928
147443	1314456 Pseudognaphalium obtusifolium 		 Asteraceae	Carl D. LaRue	: 09/14/1915
147445	1314457 Pseudognaphalium obtusifolium 		 Asteraceae	A.J. Pieters	: 08/19/1892
147563	1314451 Pseudognaphalium obtusifolium 		 Asteraceae		: 08/17/1916
147565	1314453 Pseudognaphalium obtusifolium 		 Asteraceae	Peter W. Fritsch	128: 09/15/1985
147630	1314492 Pseudognaphalium obtusifolium 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/00
147646	1217810 Gnaphalium uliginosum 		 Asteraceae	Lewis E. Foote	: 07/12/1862
147675	1003194 Liatris aspera 		 Asteraceae	Carl O. Erlanson	983: 08/23/1925
147958	1253322 Conyza canadensis 		 Asteraceae	Anton A. Reznicek	8556: 08/21/1989
147979	1253268 Conyza canadensis 		 Asteraceae	Warren H. Wagner, Jr.	: 09/03/1956
147981	1253270 Conyza canadensis 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/1867
148078	1258302 Vernonia missurica 		 Asteraceae	Carl D. LaRue	: 09/14/1915
148082	1258306 Vernonia missurica 		 Asteraceae	George B. Sudworth	271: 08/16/1884
148083	1258289 Vernonia missurica 		 Asteraceae	Elizabeth C. Almendinger	: 08/21/1861
148113	1258278 Vernonia missurica 		 Asteraceae	Carl D. LaRue	: 09/09/1915
148182	1258293 Vernonia missurica 		 Asteraceae	Frederick J. Hermann	9124: 08/05/1937
148183	1258296 Vernonia missurica 		 Asteraceae	A.B. Lyons, M.D.	: 00/00/00
148188	1253309 Conyza canadensis 		 Asteraceae	Carl D. LaRue	: 09/04/1915
148189	1258241 Vernonia gigantea 		 Asteraceae	Elizabeth C. Almendinger	: 00/00/00
148225	1253383 Conyza canadensis 		 Asteraceae	Edwin B. Mains	: 10/00/1912
148226	1253384 Conyza canadensis 		 Asteraceae	A.J. Pieters	46: 08/20/1892
148248	1258281 Vernonia missurica 		perhaps not pure Asteraceae	F.G. Gustafson & M. Best	: 08/20/1924
148285	1255560 Liatris cylindracea 		x ? Asteraceae	Carl O. Erlanson & Eileen W. Erlanson	: 09/00/1923
148287	1255561 Liatris cylindracea 		 Asteraceae	Elizabeth C. Almendinger	: 08/23/1861
149074	1241504 Veronica peregrina 		 Plantaginaceae	Leigh E. Towill	267: 05/26/1967
149177	 Achillea millefolium 		 Asteraceae	C. Marvin Rogers	3751: 07/14/1946
149252	1228593 Solanum rostratum 		 Solanaceae	Anton A. Reznicek	8890: 08/22/1991
149436	 Cirsium muticum 		 Asteraceae	C. Marvin Rogers	3971: 08/24/1946
149486	1249744 Ambrosia trifida 		 Asteraceae	Warren H. Wagner, Jr.	: 08/27/1955
149500	 Anthemis cotula 		 Asteraceae	C. Marvin Rogers	5487: 09/17/1947
149508	1249623 Ambrosia artemisiifolia 		 Asteraceae	Warren H. Wagner, Jr.	8353: 08/18/1956
149509	1249624 Ambrosia artemisiifolia 		 Asteraceae	Warren H. Wagner, Jr.	: 11/22/1960
149551	 Leucanthemum vulgare 		 Asteraceae	C. Marvin Rogers	3851: 08/07/1946
149586	 Centaurea stoebe 		 Asteraceae	C. Marvin Rogers	3885: 08/17/1946
149595	 Carduus acanthoides 		 Asteraceae	Jarl K. Hiltunen	2195: 08/15/1959
149613	 Erigeron pulchellus 		 Asteraceae	C. Marvin Rogers	3509: 05/12/1946
149676	 Cirsium vulgare 		 Asteraceae	C. Marvin Rogers	3973: 08/24/1946
149685	 Cirsium altissimum 		 Asteraceae	C. Marvin Rogers	3789: 08/17/1946
149732	 Erigeron philadelphicus 		 Asteraceae	C. Marvin Rogers	3695: 07/14/1946
149743	 Eupatorium perfoliatum 		 Asteraceae	Frederick J. Hermann	6425: 08/26/1934
149761	 Cirsium arvense 		 Asteraceae	C. Marvin Rogers	3708: 07/14/1946
149792	 Eutrochium maculatum 		 Asteraceae	C. Marvin Rogers	3797: 08/17/1946
149825	 Helianthus occidentalis 		 Asteraceae	C. Marvin Rogers	3964: 08/24/1946
149845	 Ageratina altissima 		 Asteraceae	C. Marvin Rogers	3782: 08/17/1946
149875	 Cirsium vulgare 		 Asteraceae	C. Marvin Rogers	3864: 08/07/1946
149920	 Eutrochium purpureum 		 Asteraceae	C. Marvin Rogers	3966: 08/24/1946
149922	 Erechtites hieraciifolius 		 Asteraceae	Frederick J. Hermann	8348: 08/16/1936
149964	 Packera paupercula 		 Asteraceae	Frederick J. Hermann	6555: 06/10/1935
149965	1250704 Symphyotrichum cordifolium 		s.l. or near Asteraceae	Cyrus L. Lundell	8286: 10/02/1939
149980	1250738 Symphyotrichum cordifolium 		 Asteraceae	Frederick J. Hermann	7343: 10/01/1935
149990	 Helianthus divaricatus 		 Asteraceae	A.A. Heller	: 08/22/1926
149993	 Liatris cylindracea 		 Asteraceae	Frederick J. Hermann	9131: 08/05/1937
150028	1250540 Symphyotrichum boreale 		 Asteraceae	Carl D. LaRue	: 09/24/1915
150042	 Pseudognaphalium obtusifolium 		 Asteraceae	C. Marvin Rogers	5482: 09/17/1947
150101	1250849 Symphyotrichum laeve 		 Asteraceae	Ronald L. Stuckey	2022: 09/07/1963
150102	1250850 Symphyotrichum laeve 		 Asteraceae	Cyrus L. Lundell	8300: 10/07/1939
150123	 Packera aurea 		 Asteraceae	Carl D. LaRue	: 05/00/1915
150127	1250825 Symphyotrichum laeve 		 Asteraceae	Carl O. Erlanson	: 10/18/1921
150138	 Erigeron strigosus 		 Asteraceae	George B. Sudworth	96: 06/20/1884
150146	 Helenium autumnale 		 Asteraceae	C. Marvin Rogers	3888: 08/17/1946
150148	 Helenium autumnale 		 Asteraceae	C. Marvin Rogers	5503: 09/18/1947
150166	 Penstemon hirsutus 		 Plantaginaceae	Frederick J. Hermann	6547: 06/10/1935
150196	 Helianthus decapetalus 		 Asteraceae	Frederick J. Hermann	8383: 08/20/1936
150206	 Packera paupercula 		 Asteraceae	Frederick J. Hermann	8691: 06/01/1937
150218	1250773 Symphyotrichum ericoides 		 Asteraceae	A.J. Pieters	: 09/15/1892
150221	1251075 Symphyotrichum lanceolatum 		 Asteraceae	Rogers McVaugh	8923: 10/01/1947
150230	1250869 Symphyotrichum laeve 		 Asteraceae	Carl O. Erlanson	: 10/18/1921
