Catalog Number	Species	Collector	Collection Date	Location
51401	1101542 Equisetum laevigatum 		 Equisetaceae	Hattie M. Bailey	s.n.: 05/00/1894
51408	1101208 Equisetum arvense 		 Equisetaceae	Elizabeth C. Almendinger	s.n.: 05/07/1860
51409	1101209 Equisetum arvense 		 Equisetaceae	A.J. Pieters	s.n.: 05/10/1894
51426	1101204 Equisetum arvense 		 Equisetaceae	Frederick J. Hermann	47: 05/04/1926
51430	1101509 Equisetum hyemale 		 Equisetaceae	Peter W. Fritsch	13: 07/20/1985
51455	1103130 Huperzia lucidula 		 Lycopodiaceae	Carl O. Erlanson	s.n.: 10/14/1924
51496	1103150 Huperzia lucidula 		 Lycopodiaceae	Carl O. Grassl	5286: 05/11/1933
51509	1101255 Equisetum arvense 		 Equisetaceae	Eileen W. Erlanson	954: 05/08/1925
51552	1101365 Equisetum fluviatile 		 Equisetaceae	P.B. Taylor	s.n.: 06/04/1903
51599	1103939 Onoclea sensibilis 		 Onocleaceae	Not evident	s.n.: 05/03/1915
51663	1101954 Adiantum pedatum 		 Pteridaceae	A.J. Pieters	s.n.: 08/20/1892
51666	1101957 Adiantum pedatum 		 Pteridaceae	Ray C. Friesner	s.n.: 08/25/1919
51803	1101969 Adiantum pedatum 		 Pteridaceae	Carl O. Erlanson	878: 10/30/1924
51823	1103018 Adiantum pedatum 		 Pteridaceae	Carl O. Grassl	6730: 06/08/1933
53729	1105783 Dryopteris carthusiana 		 Dryopteridaceae	L. Thomas	s.n.: 00/00/00
53802	1110097 Botrypus virginianus 		 Ophioglossaceae	John Dawson	s.n.: 00/00/00
53804	1110099 Botrypus virginianus 		 Ophioglossaceae	L. Thomas	s.n.: 00/00/00
53814	1110431 Sceptridium multifidum 		 Ophioglossaceae	Mary H. Clark	s.n.: 09/02/1863
53815	1110432 Sceptridium multifidum 		 Ophioglossaceae	Elizabeth C. Almendinger	s.n.: 08/24/1861
53881	1105932 Marsilea quadrifolia 		 Marsileaceae	David M. Johnson	1467: 10/07/1983
53917	1105926 Dryopteris carthusiana 		 Dryopteridaceae	Calvin H. Kauffman	s.n.: 00/00/00
53920	1105930 Marsilea quadrifolia 		 Marsileaceae	Leigh E. Towill	438: 06/12/1967
53921	1105931 Marsilea quadrifolia 		 Marsileaceae	Edward G. Voss	10719: 10/18/1961
54164	1110146 Botrypus virginianus 		 Ophioglossaceae	Edwin B. Mains	s.n.: 06/14/1912
54206	1110512 Sceptridium multifidum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8650: 10/18/1958
54261	1110136 Botrypus virginianus 		 Ophioglossaceae	Elizabeth C. Almendinger	s.n.: 07/13/1861
54609	1110251 Botrypus virginianus 		 Ophioglossaceae	John Dawson	s.n.: 00/00/00
54687	1110081 Botrypus virginianus 		 Ophioglossaceae	Peter W. Fritsch	1: 05/18/1985
54696	1110095 Botrypus virginianus 		 Ophioglossaceae	John Dawson	s.n.: 00/00/00
54704	1110456 Sceptridium multifidum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8637: 10/04/1958
54948	1110396 Sceptridium multifidum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8650: 10/18/1958
54958	1110217 Botrypus virginianus 		 Ophioglossaceae	George B. Sudworth	208: 07/09/1884
55129	1110805 Sceptridium dissectum 		 Ophioglossaceae	John H. Ehlers	5994: 10/30/1935
55216	1110234 Botrypus virginianus 		 Ophioglossaceae	Paul J. Podolski	s.n.: 07/02/1917
55237	1110773 Sceptridium dissectum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8636: 10/04/1958
55400	1110872 Sceptridium dissectum 		 Ophioglossaceae	Peter W. Fritsch	71: 08/18/1985
55714	1110947 Sceptridium dissectum 		 Ophioglossaceae	Frederick J. Hermann	9360: 09/27/1937
55826	1110944 Sceptridium dissectum 		 Ophioglossaceae	Mary H. Clark	s.n.: 00/00/00
56011	1110912 Sceptridium dissectum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8651: 10/18/1958
56567	1114161 Sceptridium oneidense 		 Ophioglossaceae	Carl O. Grassl	7890: 10/08/1937
57086	1114394 Dryopteris cristata 		 Dryopteridaceae	Edwin B. Mains	s.n.: 07/20/1913
57188	1114227 Sceptridium rugulosum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8649: 10/18/1958
57292	1114348 Dryopteris cristata 		 Dryopteridaceae	Edwin B. Mains	s.n.: 08/25/1913
57403	1114159 Sceptridium oneidense 		 Ophioglossaceae	Frederick J. Hermann	8356: 08/16/1936
57411	1114671 Dryopteris carthusiana 		 Dryopteridaceae	Not evident	200: 07/15/1884
57488	1114623 Dryopteris clintoniana 		 Dryopteridaceae	Nathan H. Winchell	s.n.: 06/13/1862
57590	1114669 Dryopteris goldiana 		 Dryopteridaceae	L. Thomas	s.n.: 00/00/00
57777	1114673 Onoclea sensibilis 		 Onocleaceae	John Dawson	s.n.: 00/00/00
58174	1114231 Sceptridium rugulosum 		 Ophioglossaceae	Warren H. Wagner, Jr.	8635: 10/04/1958
119648	1194519 Aristolochia clematitis 		 Aristolochiaceae	Howard A. Crum	s.n.: 06/10/1981
121559	1221073 Vitis aestivalis 		 Vitaceae	Elizabeth C. Almendinger	s.n.: 07/04/1861
123387	1228651 Agalinis purpurea 		 Orobanchaceae	Peter W. Fritsch	74: 08/19/1985
123431	1228702 Agalinis purpurea 		 Orobanchaceae		s.n.: 08/30/1915
123460	1228940 Castilleja coccinea 		 Orobanchaceae	A.J. Pieters	30: 05/14/1892
123461	1228941 Castilleja coccinea 		 Orobanchaceae	Effie A. Southworth	: 05/31/1885
123462	1228938 Castilleja coccinea 		 Orobanchaceae	Not evident	19: 05/24/1866
123500	1228746 Agalinis tenuifolia 		 Orobanchaceae	Elizabeth C. Almendinger	: 09/18/1860
