"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2017-03-25",,"77","41","43"
"USC00200228","ANN ARBOR SE, MI US","2017-03-26",,"45","39","39"
"USC00200228","ANN ARBOR SE, MI US","2017-03-27",,"52","39","50"
"USC00200228","ANN ARBOR SE, MI US","2017-03-28",,"61","43","43"
"USC00200228","ANN ARBOR SE, MI US","2017-03-29",,"48","27","27"
"USC00200228","ANN ARBOR SE, MI US","2017-03-30",,"58","27","40"
"USC00200228","ANN ARBOR SE, MI US","2017-03-31",,"40","36","39"
"USC00200228","ANN ARBOR SE, MI US","2017-04-01",,"42","36","36"
"USC00200228","ANN ARBOR SE, MI US","2017-04-02",,"57","31","31"
"USC00200228","ANN ARBOR SE, MI US","2017-04-03",,"61","31","46"
"USC00200228","ANN ARBOR SE, MI US","2017-04-04",,"56","46","53"
"USC00200228","ANN ARBOR SE, MI US","2017-04-05",,"54","36","38"
"USC00200228","ANN ARBOR SE, MI US","2017-04-06",,"49","38","40"
"USC00200228","ANN ARBOR SE, MI US","2017-04-07",,"40","33","34"
"USC00200228","ANN ARBOR SE, MI US","2017-04-08",,"52","28","28"
"USC00200228","ANN ARBOR SE, MI US","2017-04-09",,"62","28","46"
"USC00200228","ANN ARBOR SE, MI US","2017-04-10",,"76","46","58"
"USC00200228","ANN ARBOR SE, MI US","2017-04-11",,"74","52","53"
"USC00200228","ANN ARBOR SE, MI US","2017-04-12",,"64","43","44"
"USC00200228","ANN ARBOR SE, MI US","2017-04-13",,"60","42","43"
"USC00200228","ANN ARBOR SE, MI US","2017-04-14",,"53","42","42"
"USC00200228","ANN ARBOR SE, MI US","2017-04-15",,"65","42","47"
"USC00200228","ANN ARBOR SE, MI US","2017-04-16",,"83","47","62"
"USC00200228","ANN ARBOR SE, MI US","2017-04-17",,"73","40","41"
"USC00200228","ANN ARBOR SE, MI US","2017-04-18",,"70","36","38"
"USC00200228","ANN ARBOR SE, MI US","2017-04-19",,"68","38","55"
"USC00200228","ANN ARBOR SE, MI US","2017-04-20",,"76","47","48"
"USC00200228","ANN ARBOR SE, MI US","2017-04-21",,"64","48","48"
"USC00200228","ANN ARBOR SE, MI US","2017-04-22",,"52","35","38"
"USC00200228","ANN ARBOR SE, MI US","2017-04-23",,"63","31","33"
"USC00200228","ANN ARBOR SE, MI US","2017-04-24",,"71","33","40"
"USC00200228","ANN ARBOR SE, MI US","2017-04-25",,"72","40","50"
"USC00200228","ANN ARBOR SE, MI US","2017-04-26",,"73","50","54"
"USC00200228","ANN ARBOR SE, MI US","2017-04-27",,"84","54","67"
"USC00200228","ANN ARBOR SE, MI US","2017-04-28",,"69","41","44"
"USC00200228","ANN ARBOR SE, MI US","2017-04-29",,"64","44","51"
"USC00200228","ANN ARBOR SE, MI US","2017-04-30",,"52","40","44"
"USC00200228","ANN ARBOR SE, MI US","2017-05-01",,"60","44","60"
"USC00200228","ANN ARBOR SE, MI US","2017-05-02",,"68","43","44"
"USC00200228","ANN ARBOR SE, MI US","2017-05-03",,"50","37","38"
"USC00200228","ANN ARBOR SE, MI US","2017-05-04",,"63","38","44"
"USC00200228","ANN ARBOR SE, MI US","2017-05-05",,"46","42","42"
"USC00200228","ANN ARBOR SE, MI US","2017-05-06",,"47","39","41"
"USC00200228","ANN ARBOR SE, MI US","2017-05-07",,"60","36","37"
"USC00200228","ANN ARBOR SE, MI US","2017-05-08",,"57","32","33"
"USC00200228","ANN ARBOR SE, MI US","2017-05-09",,"59","29","32"
"USC00200228","ANN ARBOR SE, MI US","2017-05-10",,"66","32","43"
"USC00200228","ANN ARBOR SE, MI US","2017-05-11",,"70","43","46"
"USC00200228","ANN ARBOR SE, MI US","2017-05-12",,"68","37","42"
"USC00200228","ANN ARBOR SE, MI US","2017-05-13",,"70","42","44"
"USC00200228","ANN ARBOR SE, MI US","2017-05-14",,"74","44","54"
"USC00200228","ANN ARBOR SE, MI US","2017-05-15",,"70","37","41"
"USC00200228","ANN ARBOR SE, MI US","2017-05-16",,"74","41","55"
"USC00200228","ANN ARBOR SE, MI US","2017-05-17",,"87","55","67"
"USC00200228","ANN ARBOR SE, MI US","2017-05-18",,"87","67","70"
"USC00200228","ANN ARBOR SE, MI US","2017-05-19",,"87","45","46"
"USC00200228","ANN ARBOR SE, MI US","2017-05-20",,"56","46","50"
"USC00200228","ANN ARBOR SE, MI US","2017-05-21",,"68","50","55"
"USC00200228","ANN ARBOR SE, MI US","2017-05-22",,"77","49","50"
"USC00200228","ANN ARBOR SE, MI US","2017-05-23",,"71","50","56"
"USC00200228","ANN ARBOR SE, MI US","2017-05-24",,"77","53","55"
"USC00200228","ANN ARBOR SE, MI US","2017-05-25",,"71","55","57"
"USC00200228","ANN ARBOR SE, MI US","2017-05-26",,"62","54","55"
"USC00200228","ANN ARBOR SE, MI US","2017-05-27",,"70","55","58"
"USC00200228","ANN ARBOR SE, MI US","2017-05-28",,"77","54","57"
"USC00200228","ANN ARBOR SE, MI US","2017-05-29",,"82","52","54"
"USC00200228","ANN ARBOR SE, MI US","2017-05-30",,"79","48","51"
"USC00200228","ANN ARBOR SE, MI US","2017-05-31",,"74","50","55"
"USC00200228","ANN ARBOR SE, MI US","2017-06-01",,"73","46","52"
"USC00200228","ANN ARBOR SE, MI US","2017-06-02",,"75","46","52"
"USC00200228","ANN ARBOR SE, MI US","2017-06-03",,"81","48","56"
"USC00200228","ANN ARBOR SE, MI US","2017-06-04",,"82","56","66"
"USC00200228","ANN ARBOR SE, MI US","2017-06-05",,"86","58","60"
"USC00200228","ANN ARBOR SE, MI US","2017-06-06",,"70","50","53"
"USC00200228","ANN ARBOR SE, MI US","2017-06-07",,"70","49","51"
"USC00200228","ANN ARBOR SE, MI US","2017-06-08",,"76","44","48"
"USC00200228","ANN ARBOR SE, MI US","2017-06-09",,"80","48","56"
"USC00200228","ANN ARBOR SE, MI US","2017-06-10",,"82","56","63"
"USC00200228","ANN ARBOR SE, MI US","2017-06-11",,"88","63","67"
"USC00200228","ANN ARBOR SE, MI US","2017-06-12",,"90","62","68"
"USC00200228","ANN ARBOR SE, MI US","2017-06-13",,"92","68","72"
"USC00200228","ANN ARBOR SE, MI US","2017-06-14",,"90","65","66"
"USC00200228","ANN ARBOR SE, MI US","2017-06-15",,"87","66","68"
"USC00200228","ANN ARBOR SE, MI US","2017-06-16",,"88","60","64"
"USC00200228","ANN ARBOR SE, MI US","2017-06-17",,"87","61","67"
"USC00200228","ANN ARBOR SE, MI US","2017-06-18",,"89","67","74"
"USC00200228","ANN ARBOR SE, MI US","2017-06-19",,"84","55","59"
"USC00200228","ANN ARBOR SE, MI US","2017-06-20",,"80","55","58"
"USC00200228","ANN ARBOR SE, MI US","2017-06-21",,"79","52","55"
"USC00200228","ANN ARBOR SE, MI US","2017-06-22",,"78","55","60"
"USC00200228","ANN ARBOR SE, MI US","2017-06-23",,"87","60","70"
"USC00200228","ANN ARBOR SE, MI US","2017-06-24",,"80","58","61"
"USC00200228","ANN ARBOR SE, MI US","2017-06-25",,"77","51","56"
"USC00200228","ANN ARBOR SE, MI US","2017-06-26",,"72","50","56"
"USC00200228","ANN ARBOR SE, MI US","2017-06-27",,"71","49","52"
"USC00200228","ANN ARBOR SE, MI US","2017-06-28",,"73","45","50"
"USC00200228","ANN ARBOR SE, MI US","2017-06-29",,"78","50","67"
"USC00200228","ANN ARBOR SE, MI US","2017-06-30",,"86","66","67"
"USC00200228","ANN ARBOR SE, MI US","2017-07-01",,"86","66","67"
"USC00200228","ANN ARBOR SE, MI US","2017-07-02",,"84","58","62"
"USC00200228","ANN ARBOR SE, MI US","2017-07-03",,"84","62","65"
"USC00200228","ANN ARBOR SE, MI US","2017-07-04",,"82","55","59"
