STATION,STATION_NAME,DATE,HPCP
COOP:200230,ANN ARBOR U OF MICH MI US,20000518 18:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000518 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000518 22:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000518 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000519 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000520 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000522 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000528 05:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000528 06:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000528 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000528 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000528 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000531 17:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000601 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000601 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000601 14:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20000616 14:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20000618 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000618 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000618 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000619 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000620 21:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000620 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000621 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000621 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000624 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000624 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000624 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000624 23:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000625 00:00,1.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000625 01:00,0.70
COOP:200230,ANN ARBOR U OF MICH MI US,20000625 02:00,1.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000625 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000629 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000701 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000702 11:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20000702 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000703 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000703 05:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000704 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000709 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000709 14:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000710 13:00,0.60
COOP:200230,ANN ARBOR U OF MICH MI US,20000710 14:00,0.70
COOP:200230,ANN ARBOR U OF MICH MI US,20000714 15:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000714 16:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000714 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000716 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000728 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000728 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000728 18:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000730 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000730 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000730 07:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000730 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000730 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000730 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000731 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000801 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000801 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000802 09:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000802 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000802 21:00,0.80
COOP:200230,ANN ARBOR U OF MICH MI US,20000805 23:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20000806 00:00,0.50
COOP:200230,ANN ARBOR U OF MICH MI US,20000806 01:00,0.40
COOP:200230,ANN ARBOR U OF MICH MI US,20000806 02:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000806 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000806 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000806 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000815 07:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000817 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000817 10:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000817 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000817 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000823 00:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000823 02:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000823 03:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20000826 20:00,0.40
COOP:200230,ANN ARBOR U OF MICH MI US,20000826 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000826 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000827 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000901 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000910 08:00,0.30
